technique,feature,spearman_corr,p_value,slope_std,sample_size,significant
open,QValue,-0.27001879569137344,0.03861495500451903,-0.31872629489394055,59,True
open,Shimmer,0.16515363152569737,0.21128807746954764,0.3922382181574967,59,False
open,SpectralSlope,0.3846891786642605,0.002626929713507292,0.6566922738423359,59,True
clean,CPP,-0.8001633786811031,2.887378076604161e-14,-1.3389715639392947,59,True
clean,H1H2,0.34329490072174923,0.007769993157130007,0.6645244476916425,59,True
clean,HNR,-0.30629509797885945,0.018305813522895318,-0.4858523918407157,59,True
clean,HighFreqNoiseRatio,0.6667718014831409,8.14633315907978e-09,0.9149126434503496,59,True
clean,Jitter,0.6077209846998534,3.319428596481764e-07,1.0140129725472575,59,True
clean,LowFreqEnergyRatio,0.31411064725900045,0.015402509406687652,0.40875193615864586,59,True
clean,QValue,-0.3345763500823806,0.009596049453410914,-0.4444401192018437,59,True
clean,Shimmer,0.12697166171784638,0.3379082576072111,0.32501057592291316,59,False
clean,SpectralSlope,0.4239590646023003,0.0008194169765423126,0.7661922626594642,59,True
resonate,CPP,-0.8001633786811031,2.887378076604161e-14,-1.3389715639392947,59,True
resonate,H1H2,0.34329490072174923,0.007769993157130007,0.6645244476916425,59,True
resonate,HNR,-0.30629509797885945,0.018305813522895318,-0.4858523918407157,59,True
resonate,HighFreqNoiseRatio,0.6667718014831409,8.14633315907978e-09,0.9149126434503496,59,True
resonate,Jitter,0.6077209846998534,3.319428596481764e-07,1.0140129725472575,59,True
resonate,LowFreqEnergyRatio,0.31411064725900045,0.015402509406687652,0.40875193615864586,59,True
resonate,QValue,-0.3345763500823806,0.009596049453410914,-0.4444401192018437,59,True
resonate,Shimmer,0.12697166171784638,0.3379082576072111,0.32501057592291316,59,False
resonate,SpectralSlope,0.4239590646023003,0.0008194169765423126,0.7661922626594642,59,True
unify,CPP,-0.7743618946458282,6.285267496516646e-13,-1.2316513842903778,59,True
unify,H1H2,0.25982860011636366,0.04688293252853945,0.5138911248440953,59,True
unify,HNR,-0.29103784394532806,0.02533046925383965,-0.47135921695452804,59,True
unify,HighFreqNoiseRatio,0.7160425315505096,1.8288753220379605e-10,0.9482192270925763,59,True
unify,Jitter,0.5518912252023442,5.87152381658155e-06,0.8727478694901587,59,True
unify,LowFreqEnergyRatio,0.249394464866083,0.056797354110544186,0.3002404733008537,59,False
unify,QValue,-0.26696426985584937,0.04095588465735571,-0.31448647378272016,59,True
unify,Shimmer,0.08850382578363049,0.5050434017371909,0.2404298270146725,59,False
unify,SpectralSlope,0.45317048013211714,0.0003130936529119699,0.7490704435704362,59,True
falsetto,CPP,-0.7776471533740302,4.344515322483055e-13,-1.2567629243171063,59,True
falsetto,H1H2,0.30161197122766387,0.020259585884702367,0.5835695812207836,59,True
falsetto,HNR,-0.2933622247652928,0.02413259528325798,-0.4732350530323536,59,True
falsetto,HighFreqNoiseRatio,0.7021278577504455,5.774764996531893e-10,0.9418633590466019,59,True
falsetto,Jitter,0.5625954918323726,3.5238063623838843e-06,0.914503883303216,59,True
falsetto,LowFreqEnergyRatio,0.2547496896312628,0.05151558708453078,0.31239475833400887,59,False
falsetto,QValue,-0.29253704895189964,0.024552258662527002,-0.36186470603992543,59,True
falsetto,Shimmer,0.11255011245091952,0.3960382703305406,0.3155430392569046,59,False
falsetto,SpectralSlope,0.41818352089438454,0.000981266809249687,0.719713592103773,59,True
chest,CPP,-0.8001633786811031,2.887378076604161e-14,-1.3389715639392947,59,True
chest,H1H2,0.34329490072174923,0.007769993157130007,0.6645244476916425,59,True
chest,HNR,-0.30629509797885945,0.018305813522895318,-0.4858523918407157,59,True
chest,HighFreqNoiseRatio,0.6667718014831409,8.14633315907978e-09,0.9149126434503496,59,True
chest,Jitter,0.6077209846998534,3.319428596481764e-07,1.0140129725472575,59,True
chest,LowFreqEnergyRatio,0.31411064725900045,0.015402509406687652,0.40875193615864586,59,True
chest,QValue,-0.3345763500823806,0.009596049453410914,-0.4444401192018437,59,True
chest,Shimmer,0.12697166171784638,0.3379082576072111,0.32501057592291316,59,False
chest,SpectralSlope,0.4239590646023003,0.0008194169765423126,0.7661922626594642,59,True
nasal,CPP,-0.8014169581767673,2.4580246439785033e-14,-1.3327332252675181,59,True
nasal,H1H2,0.34933559715397544,0.006689847586582235,0.6727658048112827,59,True
nasal,HNR,-0.3142811600693205,0.015343843604502092,-0.49660514026447156,59,True
nasal,HighFreqNoiseRatio,0.6732869467638904,5.1395151981228205e-09,0.9185984937815739,59,True
nasal,Jitter,0.609221941057452,3.049151203116386e-07,1.0199307573679746,59,True
nasal,LowFreqEnergyRatio,0.29373200729555726,0.02394650668313459,0.37741429072062616,59,True
nasal,QValue,-0.3175351597850805,0.014260422978055748,-0.4149296720275477,59,True
nasal,Shimmer,0.14988793787921442,0.2571753150307072,0.35676092139956267,59,False
nasal,SpectralSlope,0.41752747607116475,0.0010013641139312033,0.7464279712205946,59,True
