technique,feature,spearman_corr,p_value,slope_std,sample_size,significant
resonate,H1H2,-0.381823084640006,0.002844723659399895,-0.631319352532409,59,True
resonate,HNR,0.20089245721326238,0.12709237233117518,0.23011649891899785,59,False
resonate,HighFreqNoiseRatio,0.8027203892876656,2.0766334730750256e-14,0.8900884636321297,59,True
resonate,Jitter,-0.08791699501722053,0.5078825747858323,-0.02170235128753153,59,False
resonate,LowFreqEnergyRatio,-0.6914438062223913,1.3366047969583365e-09,-0.8773325093821969,59,True
resonate,QValue,0.7848818758560373,1.8835693346249022e-13,0.9389222989181848,59,True
resonate,Shimmer,-0.4722883983533779,0.00015895062229903233,-0.6184059759429743,59,True
resonate,SpectralSlope,0.2364498583954186,0.07138703954027699,0.25109234597311947,59,False
unify,CPP,0.45998488132039306,0.0002470071880502657,0.7796699752923947,59,True
unify,H1H2,-0.3828713185736012,0.0027632749890807015,-0.7823405040149093,59,True
unify,HNR,0.0672884022199699,0.6125983860203774,0.07686595024450649,59,False
unify,HighFreqNoiseRatio,0.8928188458537324,2.115745394914224e-21,1.3333889154360024,59,True
unify,Jitter,0.008647381031493137,0.9481725588805439,0.06478444773757835,59,False
unify,LowFreqEnergyRatio,-0.7045910859818405,4.734012893971505e-10,-1.1534106960323378,59,True
unify,QValue,0.829775947195923,4.595189463071275e-16,1.2602154143861157,59,True
unify,Shimmer,-0.49733288900121464,6.143173078443396e-05,-0.8329506261579409,59,True
unify,SpectralSlope,0.1732949478161658,0.18932464909753818,0.3019978042594912,59,False
falsetto,CPP,0.45998488132039306,0.0002470071880502657,0.7796699752923947,59,True
falsetto,H1H2,-0.3828713185736012,0.0027632749890807015,-0.7823405040149093,59,True
falsetto,HNR,0.0672884022199699,0.6125983860203774,0.07686595024450649,59,False
falsetto,HighFreqNoiseRatio,0.8928188458537324,2.115745394914224e-21,1.3333889154360024,59,True
falsetto,Jitter,0.008647381031493137,0.9481725588805439,0.06478444773757835,59,False
falsetto,LowFreqEnergyRatio,-0.7045910859818405,4.734012893971505e-10,-1.1534106960323378,59,True
falsetto,QValue,0.829775947195923,4.595189463071275e-16,1.2602154143861157,59,True
falsetto,Shimmer,-0.49733288900121464,6.143173078443396e-05,-0.8329506261579409,59,True
falsetto,SpectralSlope,0.1732949478161658,0.18932464909753818,0.3019978042594912,59,False
chest,CPP,0.45998488132039306,0.0002470071880502657,0.7796699752923947,59,True
chest,H1H2,-0.3828713185736012,0.0027632749890807015,-0.7823405040149093,59,True
chest,HNR,0.0672884022199699,0.6125983860203774,0.07686595024450649,59,False
chest,HighFreqNoiseRatio,0.8928188458537324,2.115745394914224e-21,1.3333889154360024,59,True
chest,Jitter,0.008647381031493137,0.9481725588805439,0.06478444773757835,59,False
chest,LowFreqEnergyRatio,-0.7045910859818405,4.734012893971505e-10,-1.1534106960323378,59,True
chest,QValue,0.829775947195923,4.595189463071275e-16,1.2602154143861157,59,True
chest,Shimmer,-0.49733288900121464,6.143173078443396e-05,-0.8329506261579409,59,True
chest,SpectralSlope,0.1732949478161658,0.18932464909753818,0.3019978042594912,59,False
nasal,CPP,0.3525463258115635,0.0061710863433068145,0.4910614423623513,59,True
nasal,H1H2,-0.3758716970845402,0.0033488791372601272,-0.6693295260090777,59,True
nasal,HNR,0.10025149367528391,0.44996308952000774,0.10916044879450708,59,False
nasal,HighFreqNoiseRatio,0.8336202076170806,2.5330166235899115e-16,1.055997806534264,59,True
nasal,Jitter,0.007902064553702341,0.9526342055504664,0.10869768810212332,59,False
nasal,LowFreqEnergyRatio,-0.6845282426640943,2.2579732421041264e-09,-0.9703474345224674,59,True
nasal,QValue,0.7830134344426588,2.344446051725759e-13,0.9856882448031489,59,True
nasal,Shimmer,-0.42813956985541474,0.0007177497665292534,-0.6137599771259477,59,True
nasal,SpectralSlope,0.1996773236528441,0.12945632501277404,0.25797890486714314,59,False
