audio_filename,vibrato,throat,position,open,clean,resonate,unify,falsetto,chest,nasal,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
A4-5-A.wav,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.185196,-2.3248055,23.896805,0.232973,0.00635,0.27152,14.0,0.017482,-0.000123
A4-5-B.wav,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.073029995,-0.862866,20.642063,0.285914,0.005762,0.466522,13.666667,0.0317135,-0.000122
B3-1.wav,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2926395,-5.194897,22.851107,0.0106315,0.003387,0.6462875,11.0,0.0162545,-0.000141
B3-3-A.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.330559,0.100807,25.076054,0.085918,0.002569,0.441637,11.5,0.0128905,-0.000132
B3-3-B.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.20002851,4.0571375,26.520712,0.168555,0.002903,0.8393715,4.0,0.012805,-0.000119
B3-5-A.wav,5,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,0.3723295,0.832392,21.989372,0.2920855,0.003841,0.116329,17.0,0.013821,-0.00012849999
B3-5-B.wav,5,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0926355,15.267897,22.119581,0.091731,0.005877,0.982524,4.0,0.019815,-0.000122
B4-1.wav,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1722285,3.666882,25.750032,0.021943,0.002128,0.48062998,11.5,0.026821,-0.000119
B4-3-A.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.216946,4.2222996,26.889574,0.029363,0.001752,0.588994,11.5,0.023781,-0.0001165
B4-3-B.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.21249449,1.6056726,33.784454,0.393109,0.001109,0.476283,11.5,0.023793,-0.000113
B4-5-B.wav,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.084914,-0.539064,19.129532,0.32847548,0.008612,0.4127065,15.333333,0.028115999,-0.00012
C4-1.wav,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.259026,-3.0704317,22.859219,0.0086095,0.004485,0.4317395,8.333333,0.01652,-0.00013
C4-3-A.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.218805,-2.084424,20.412464,0.05186,0.007634,0.264448,12.5,0.0119265,-0.000131
C4-3-B.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.1818645,4.036901,25.90435,0.111699,0.003553,0.70204496,4.333333,0.0217725,-0.000109
C4-5-A.wav,5,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,0.380914,-0.441537,23.405293,0.197195,0.002687,0.215825,12.5,0.010947,-0.000119
C4-5-B.wav,5,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.109299,10.911918,21.292387,0.165004,0.005941,0.898756,6.5,0.0137680005,-0.000109
C5-1.wav,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2099985,9.020048,26.778574,0.0722585,0.001766,0.0054065,12.0,0.036617,-0.000107
C5-3-A.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.27580702,0.634026,31.095854,0.2381055,0.001446,0.019956,16.0,0.024053,-0.000108
C5-3-B.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.227822,0.707584,31.2192,0.335999,0.001673,0.0245765,12.5,0.017253,-9.95e-05
C5-5-A.wav,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.28348452,1.1605835,26.872135,0.094291,0.003468,0.0142155,14.5,0.017354,-0.000121
C5-5-B.wav,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.087144,9.796898,23.84588,0.341102,0.005937,0.000861,8.666667,0.025283,-9.6e-05
D4-1.wav,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2902705,3.1069021,21.6968,0.0021485002,0.003578,0.6321415,7.0,0.026412,-0.000129
D4-3-A.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.408905,-0.685634,24.068092,0.047909,0.002346,0.14463,13.5,0.0146085005,-0.000127
D4-3-B.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.2413455,5.4495792,27.018515,0.1984055,0.0026,0.59388006,7.0,0.015684,-0.000116
D4-5-A.wav,5,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,0.36834002,-4.259809,24.593298,0.2019875,0.003048,0.1030505,13.666667,0.013601,-0.00013
D4-5-B.wav,5,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,0.106258005,20.825512,25.060736,0.124945,0.004912,0.9878335,7.0,0.02037,-0.000121
E4-1.wav,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30633,7.411163,23.153938,0.006791,0.003487,0.806446,7.5,0.028728,-0.000132
E4-3-A.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.349282,-5.274802,25.813162,0.029938,0.002849,0.202933,10.0,0.021618,-0.000116
